id,packet_parsed
1,"{'MTypeText': 'Join-Request', 'PHYPayload': {'MHDR': {'MType': '000', 'RFU': '001', 'Major': '00'}, 'MIC': '1195418a', 'JoinRequest': {'JoinEUI': '86b96899b38fb543', 'DevEUI': 'b6bf6b860a8b1ea7', 'DevNonce': 'f506'}}, 'ParseMessage': 'Corrupted! Invalid packet size.', 'Lora': {'Freq': '867.5', 'Chan': '5', 'Datr': 'SF7BW125', 'Codr': '4/8'}, 'RAWPacket': '0486b96899b38fb543b6bf6b860a8b1ea7f50693c735320e6d62db6f02ba562b82d6bc61264ea0ec91ade6b41195418a', 'Time': '2021-09-05 11:34:23.87', 'DecryptedData': ''}"
2,"{'MTypeText': 'Join-Request', 'PHYPayload': {'MHDR': {'MType': '000', 'RFU': '000', 'Major': '00'}, 'MIC': '82f5ab54', 'JoinRequest': {'JoinEUI': 'bdc6ada3ce0ec6f9', 'DevEUI': '75c600000aca2500', 'DevNonce': 'd862'}}, 'ParseMessage': '', 'Lora': {'Freq': '868.5', 'Chan': '2', 'Datr': 'SF7BW125', 'Codr': '4/5'}, 'RAWPacket': '00bdc6ada3ce0ec6f975c600000aca2500d86282f5ab54', 'Time': '2021-09-05 11:34:56.31', 'DecryptedData': ''}"
3,"{'MTypeText': 'Join-Accept', 'PHYPayload': {'MHDR': {'MType': '001', 'RFU': '000', 'Major': '00'}, 'MIC': '28d9bfdb', 'JoinAccept': {'JoinNonce': 'f17204', 'Home_NetID': 'a58e5c', 'DevAddr': 'b38a679a', 'DLSettings': {'OptNeg': '1', 'RX1DRoffset': '100', 'RX2Datarate': '0000'}, 'RxDelay': '8c', 'CFList': 'efc0333e9969d5279627a7dc954784f1'}}, 'ParseMessage': '', 'Lora': {'Freq': '868.5', 'Chan': '2', 'Datr': 'SF7BW125', 'Codr': '4/5'}, 'RAWPacket': '20f17204a58e5cb38a679ac08cefc0333e9969d5279627a7dc954784f128d9bfdb', 'Time': '2021-09-05 11:35:01.39', 'DecryptedData': ''}"
4,"{'MTypeText': 'Uplink Msg (C)', 'PHYPayload': {'MHDR': {'MType': '100', 'RFU': '000', 'Major': '00'}, 'MIC': '3a4f3525', 'MACPayload': {'FHDR': {'DevAddr': '260b0523', 'FCnt': '0000', 'FOpts': '', 'FCtrl': {'ADR': '1', 'ADRACKReq': '0', 'ACK': '0', 'ClassB': '0', 'FOptsLen': '0000'}}, 'FPort': '01', 'FRMPayload': '357f8940e967446d659b88'}}, 'ParseMessage': '', 'Lora': {'Freq': '867.3', 'Chan': '4', 'Datr': 'SF7BW125', 'Codr': '4/5'}, 'RAWPacket': '8023050b2680000001357f8940e967446d659b883a4f3525', 'Time': '2021-09-05 11:35:04.25', 'DecryptedData': ''}"
5,"{'MTypeText': 'Uplink Msg (C)', 'PHYPayload': {'MHDR': {'MType': '100', 'RFU': '000', 'Major': '00'}, 'MIC': '3a4f3525', 'MACPayload': {'FHDR': {'DevAddr': '260b0523', 'FCnt': '0000', 'FOpts': '', 'FCtrl': {'ADR': '1', 'ADRACKReq': '0', 'ACK': '0', 'ClassB': '0', 'FOptsLen': '0000'}}, 'FPort': '01', 'FRMPayload': '357f8940e967446d659b88'}}, 'ParseMessage': '', 'Lora': {'Freq': '867.7', 'Chan': '6', 'Datr': 'SF7BW125', 'Codr': '4/5'}, 'RAWPacket': '8023050b2680000001357f8940e967446d659b883a4f3525', 'Time': '2021-09-05 11:35:04.26', 'DecryptedData': ''}"
6,"{'MTypeText': 'Downlink Msg (UC)', 'PHYPayload': {'MHDR': {'MType': '011', 'RFU': '000', 'Major': '00'}, 'MIC': '013d8477', 'MACPayload': {'FHDR': {'DevAddr': '260b0523', 'FCnt': '0000', 'FOpts': '06', 'FCtrl': {'ADR': '1', 'RFU': '0', 'ACK': '1', 'FPending': '0', 'FOptsLen': '0001'}}, 'FPort': '', 'FRMPayload': ''}}, 'ParseMessage': '', 'Lora': {'Freq': '867.3', 'Chan': '4', 'Datr': 'SF7BW125', 'Codr': '4/5'}, 'RAWPacket': '6023050b26a1000006013d8477', 'Time': '2021-09-05 11:35:09.29', 'DecryptedData': ''}"
7,"{'MTypeText': 'Join-Request', 'PHYPayload': {'MHDR': {'MType': '000', 'RFU': '000', 'Major': '00'}, 'MIC': '74ad4416', 'JoinRequest': {'JoinEUI': '0001001080da7f64', 'DevEUI': 'ed3f000000da7f64', 'DevNonce': 'dc6f'}}, 'ParseMessage': '', 'Lora': {'Freq': '868.5', 'Chan': '2', 'Datr': 'SF12BW125', 'Codr': '4/5'}, 'RAWPacket': '000001001080da7f64ed3f000000da7f64dc6f74ad4416', 'Time': '2021-09-05 11:35:17.95', 'DecryptedData': ''}"
8,"{'MTypeText': 'Join-Accept', 'PHYPayload': {'MHDR': {'MType': '001', 'RFU': '000', 'Major': '00'}, 'MIC': 'abc2f504', 'JoinAccept': {'JoinNonce': '6d15ae', 'Home_NetID': '5ed67d', 'DevAddr': 'f441f374', 'DLSettings': {'OptNeg': '1', 'RX1DRoffset': '010', 'RX2Datarate': '1010'}, 'RxDelay': 'aa', 'CFList': 'ce363ff3514b4057b3cde0b6a3885b4b'}}, 'ParseMessage': '', 'Lora': {'Freq': '868.5', 'Chan': '2', 'Datr': 'SF12BW125', 'Codr': '4/5'}, 'RAWPacket': '206d15ae5ed67df441f374aaaace363ff3514b4057b3cde0b6a3885b4babc2f504', 'Time': '2021-09-05 11:35:24.76', 'DecryptedData': ''}"
9,"{'MTypeText': 'Uplink Msg (UC)', 'PHYPayload': {'MHDR': {'MType': '010', 'RFU': '000', 'Major': '00'}, 'MIC': '3b729240', 'MACPayload': {'FHDR': {'DevAddr': '260be271', 'FCnt': '0000', 'FOpts': '', 'FCtrl': {'ADR': '1', 'ADRACKReq': '0', 'ACK': '0', 'ClassB': '0', 'FOptsLen': '0000'}}, 'FPort': '0a', 'FRMPayload': 'fedcccaca1eed65255b869'}}, 'ParseMessage': '', 'Lora': {'Freq': '867.7', 'Chan': '6', 'Datr': 'SF12BW125', 'Codr': '4/5'}, 'RAWPacket': '4071e20b268000000afedcccaca1eed65255b8693b729240', 'Time': '2021-09-05 11:35:40.26', 'DecryptedData': ''}"
10,"{'MTypeText': 'Uplink Msg (UC)', 'PHYPayload': {'MHDR': {'MType': '010', 'RFU': '000', 'Major': '00'}, 'MIC': '3b729240', 'MACPayload': {'FHDR': {'DevAddr': '260be271', 'FCnt': '0000', 'FOpts': '', 'FCtrl': {'ADR': '1', 'ADRACKReq': '0', 'ACK': '0', 'ClassB': '0', 'FOptsLen': '0000'}}, 'FPort': '0a', 'FRMPayload': 'fedcccaca1eed65255b869'}}, 'ParseMessage': '', 'Lora': {'Freq': '867.3', 'Chan': '4', 'Datr': 'SF12BW125', 'Codr': '4/5'}, 'RAWPacket': '4071e20b268000000afedcccaca1eed65255b8693b729240', 'Time': '2021-09-05 11:35:40.27', 'DecryptedData': ''}"
11,"{'MTypeText': 'Downlink Msg (UC)', 'PHYPayload': {'MHDR': {'MType': '011', 'RFU': '000', 'Major': '00'}, 'MIC': '8f0e82a9', 'MACPayload': {'FHDR': {'DevAddr': '260be271', 'FCnt': '0000', 'FOpts': '060350ff0001', 'FCtrl': {'ADR': '1', 'RFU': '0', 'ACK': '0', 'FPending': '0', 'FOptsLen': '0110'}}, 'FPort': '', 'FRMPayload': ''}}, 'ParseMessage': '', 'Lora': {'Freq': '867.3', 'Chan': '4', 'Datr': 'SF12BW125', 'Codr': '4/5'}, 'RAWPacket': '6071e20b26860000060350ff00018f0e82a9', 'Time': '2021-09-05 11:35:46.59', 'DecryptedData': ''}"
