Time,Type,DevAddr,DevEUI,FCnt,RJcount1,Invalid
'2021-09-05 11:34:23.87','Join-Request',,'b6bf6b860a8b1ea7',,,'Corrupted! Invalid packet size.'
'2021-09-05 11:34:56.31','Join-Request',,'75c600000aca2500',,,
'2021-09-05 11:35:01.39','Join-Accept','b38a679a',,,,
'2021-09-05 11:35:04.25','Uplink Msg (C)','260b0523',,'0000',,
'2021-09-05 11:35:04.26','Uplink Msg (C)','260b0523',,'0000',,
'2021-09-05 11:35:09.29','Downlink Msg (UC)','260b0523',,'0000',,
'2021-09-05 11:35:17.95','Join-Request',,'ed3f000000da7f64',,,
'2021-09-05 11:35:24.76','Join-Accept','f441f374',,,,
'2021-09-05 11:35:40.26','Uplink Msg (UC)','260be271',,'0000',,
'2021-09-05 11:35:40.27','Uplink Msg (UC)','260be271',,'0000',,
'2021-09-05 11:35:46.59','Downlink Msg (UC)','260be271',,'0000',,
'2021-09-05 11:36:04.51','Uplink Msg (C)','260b0523',,'0001',,
'2021-09-05 11:36:09.55','Downlink Msg (UC)','260b0523',,'0001',,
'2021-09-05 11:37:04.51','Uplink Msg (C)','260b0523',,'0002',,
'2021-09-05 11:37:09.54','Downlink Msg (UC)','260b0523',,'0002',,
'2021-09-05 11:37:53.19','Uplink Msg (C)','e96adc6f',,'4c47',,
'2021-09-05 11:38:04.50','Uplink Msg (C)','260b0523',,'0003',,
'2021-09-05 11:38:04.50','Uplink Msg (C)','260b0523',,'0003',,
'2021-09-05 11:38:09.54','Downlink Msg (UC)','260b0523',,'0003',,
'2021-09-05 11:38:33.22','Rejoin-Request',,'',,: '','Corrupted! Invalid ReJoinType value.'
'2021-09-05 11:39:00.35','Join-Request',,'790ef4364d04e6ab',,,'Corrupted! Invalid packet size.'
'2021-09-05 11:39:02.78','Join-Request',,'ed3f000000da7f64',,,
'2021-09-05 11:39:04.49','Uplink Msg (C)','260b0523',,'0004',,
'2021-09-05 11:39:04.50','Uplink Msg (C)','260b0523',,'0004',,
'2021-09-05 11:39:09.59','Join-Accept','b55a58fd',,,,
'2021-09-05 11:39:25.09','Uplink Msg (UC)','260baeec',,'0000',,
'2021-09-05 11:39:25.10','Uplink Msg (UC)','260baeec',,'0000',,
'2021-09-05 11:39:31.58','Downlink Msg (C)','260baeec',,'0001',,
'2021-09-05 11:39:48.10','Join-Request',,'ed3f000000da7f64',,,
'2021-09-05 11:39:54.92','Join-Accept','0e2ca409',,,,
'2021-09-05 11:40:04.49','Uplink Msg (C)','260b0523',,'0005',,
'2021-09-05 11:40:09.53','Downlink Msg (UC)','260b0523',,'0005',,
'2021-09-05 11:40:10.42','Uplink Msg (UC)','260bc69d',,'0000',,
'2021-09-05 11:40:10.43','Uplink Msg (UC)','260bc69d',,'0000',,
'2021-09-05 11:40:16.91','Join-Accept','00060340',,,,'Corrupted! Invalid packet size.'
'2021-09-05 11:40:30.27','Join-Request',,'ed3f000000da7f64',,,
'2021-09-05 11:40:37.08','Join-Accept','68b803cb',,,,
'2021-09-05 11:40:52.59','Uplink Msg (UC)','260b0be3',,'0000',,
'2021-09-05 11:40:52.61','Uplink Msg (UC)','260b0be3',,'0000',,
'2021-09-05 11:40:57.93','Join-Request',,'75c600000aca2500',,,
'2021-09-05 11:40:59.08','Downlink Msg (C)','260b0be3',,'0001',,
'2021-09-05 11:41:14.66','Proprietary',,,,,
'2021-09-05 11:41:31.88','Join-Request',,'75c600000aca2500',,,
'2021-09-05 11:41:36.94','Join-Accept','b00c7bc6',,,,
'2021-09-05 11:41:39.22','Uplink Msg (C)','260b24d9',,'0000',,
'2021-09-05 11:41:39.23','Uplink Msg (C)','260b24d9',,'0000',,
'2021-09-05 11:41:44.27','Downlink Msg (UC)','260b24d9',,'0000',,
'2021-09-05 11:42:28.75','Join-Request',,'ed3f000000da7f64',,,
'2021-09-05 11:42:35.56','Join-Accept','0bfe8974',,,,
'2021-09-05 11:42:36.50','Rejoin-Request',,'',,: '','Corrupted! Invalid ReJoinType value.'
'2021-09-05 11:42:39.47','Uplink Msg (C)','260b24d9',,'0001',,
'2021-09-05 11:42:39.48','Uplink Msg (C)','260b24d9',,'0001',,
'2021-09-05 11:42:44.52','Downlink Msg (UC)','260b24d9',,'0001',,
'2021-09-05 11:42:51.07','Uplink Msg (UC)','260b7bbd',,'0000',,
'2021-09-05 11:42:51.09','Uplink Msg (UC)','260b7bbd',,'0000',,
'2021-09-05 11:42:57.57','Downlink Msg (C)','240b7bbd',,'0223',,
'2021-09-05 11:43:24.07','Join-Request',,'75c600000aca2500',,,
'2021-09-05 11:43:29.15','Join-Accept','51ba4f21',,,,
'2021-09-05 11:43:31.39','Uplink Msg (C)','260b785b',,'0000',,
'2021-09-05 11:43:36.44','Downlink Msg (UC)','260b785b',,'0000',,
'2021-09-05 11:44:27.86','Join-Request',,'75c600000aca2500',,,
'2021-09-05 11:44:32.93','Join-Accept','6bd59ef1',,,,
'2021-09-05 11:44:34.95','Uplink Msg (C)','260bb04f',,'0000',,
'2021-09-05 11:44:34.96','Uplink Msg (C)','260bb04f',,'0000',,
'2021-09-05 11:44:40.00','Downlink Msg (UC)','260bb04f',,'0000',,
'2021-09-05 11:45:21.79','Join-Request',,'75c600000aca2500',,,
'2021-09-05 11:45:26.88','Join-Accept','57f96f99',,,,
'2021-09-05 11:45:30.14','Uplink Msg (C)','260b1498',,'0000',,
'2021-09-05 11:45:35.19','Downlink Msg (UC)','260b1498',,'0000',,
'2021-09-05 11:45:50.43','Uplink Msg (UC)','65738f95',,'8a26',,
'2021-09-05 11:46:29.40','Uplink Msg (C)','260b1498',,'0001',,
'2021-09-05 11:46:29.40','Uplink Msg (C)','260b1498',,'0001',,
'2021-09-05 11:46:31.99','Join-Request',,'4b63b7767701327a',,,'Corrupted! Invalid packet size.'
'2021-09-05 11:46:34.43','Downlink Msg (UC)','260b1498',,'0001',,
'2021-09-05 11:47:29.39','Uplink Msg (C)','260b1498',,'0002',,
'2021-09-05 11:47:32.34','Rejoin-Request',,'',,: '','Corrupted! Invalid ReJoinType value.'
'2021-09-05 11:47:34.43','Downlink Msg (UC)','260b1498',,'0002',,
'2021-09-05 11:48:31.58','Join-Request',,'75c600000aca2500',,,
'2021-09-05 11:48:36.66','Join-Accept','f572647a',,,,
'2021-09-05 11:48:39.32','Uplink Msg (C)','260b905b',,'0000',,
'2021-09-05 11:48:44.36','Downlink Msg (UC)','260b905b',,'0000',,
'2021-09-05 11:49:39.57','Uplink Msg (C)','260b905b',,'0001',,
'2021-09-05 11:49:39.58','Uplink Msg (C)','260b905b',,'0001',,
'2021-09-05 11:49:44.62','Downlink Msg (UC)','260b905b',,'0001',,
'2021-09-05 11:50:39.56','Uplink Msg (C)','260b905b',,'0002',,
'2021-09-05 11:50:39.57','Uplink Msg (C)','260b905b',,'0002',,
'2021-09-05 11:50:44.61','Downlink Msg (UC)','260b905b',,'0002',,
'2021-09-05 11:51:39.56','Uplink Msg (C)','260b905b',,'0003',,
'2021-09-05 11:51:44.60','Downlink Msg (UC)','260b905b',,'0003',,
'2021-09-05 11:52:07.94','Join-Request',,'ed3f000000da7f64',,,
'2021-09-05 11:52:14.74','Join-Accept','338b40a8',,,,
'2021-09-05 11:52:30.26','Uplink Msg (UC)','260b8d7e',,'0000',,
'2021-09-05 11:52:30.27','Uplink Msg (UC)','260b8d7e',,'0000',,
'2021-09-05 11:52:37.24','Downlink Msg (UC)','260b8d7e',,'0001',,
